# Les 2000 verbes français les plus fréquents, plus les
# quatre écrits à la main. Source : Lexique 3.83 (lexique.org),
# moyenne des fréquences par lemme dans les sous-titres de
# films et dans les livres, par million de mots. Ne sont
# gardés que les verbes que Verbiste sait conjuguer.
# verbe	fréquence
vérifier	75.57
éprouver	75.22
former	74.98
prêter	74.55
ressentir	74.46
blesser	73.53
crever	73.25
repartir	73.20
écraser	72.62
marquer	72.43
laver	71.94
commander	71.92
remplir	71.31
demeurer	71.02
éclater	70.90
livrer	70.73
prouver	70.63
forcer	70.03
régler	70.00
créer	69.98
surveiller	69.60
dîner	69.48
soulever	68.82
entourer	68.04
promener	67.78
secouer	67.67
représenter	67.16
dépêcher	67.14
éteindre	67.07
étendre	66.89
causer	66.80
coûter	65.63
murmurer	65.42
allonger	65.35
considérer	65.22
attirer	65.09
songer	64.72
plaindre	64.55
taper	64.49
gêner	64.39
adresser	64.38
enfermer	64.34
trembler	64.09
enfoncer	64.05
téléphoner	63.76
désirer	63.76
fatiguer	63.65
ficher	63.58
habiller	62.81
posséder	62.50
libérer	62.14
virer	62.07
inventer	61.84
presser	61.65
chasser	61.42
hurler	60.91
ennuyer	60.80
moquer	60.73
dépasser	60.70
endormir	60.69
apprécier	60.66
reculer	60.60
construire	60.12
accorder	60.06
rapporter	59.71
produire	59.37
ramasser	59.28
plonger	59.09
interdire	59.05
dresser	58.87
attacher	58.69
interroger	58.68
écarter	58.59
nourrir	58.53
briser	58.41
peindre	58.16
déposer	57.90
ranger	57.79
signifier	57.47
piquer	57.46
déclarer	57.39
plaisanter	57.28
pleuvoir	57.13
planter	57.08
remplacer	56.73
saluer	56.37
convenir	56.30
souffler	55.99
prononcer	55.53
confier	55.52
débarrasser	55.34
grandir	55.34
briller	55.06
dessiner	54.81
admettre	54.75
insister	54.59
nommer	53.95
balancer	53.91
récupérer	53.87
réaliser	53.61
pénétrer	53.12
renoncer	53.05
croiser	52.59
achever	52.20
disposer	52.12
éclairer	51.99
agiter	51.91
refermer	51.87
rater	51.58
convaincre	51.53
prétendre	51.53
transformer	51.41
enfuir	51.35
exprimer	51.33
menacer	51.10
imposer	51.00
renvoyer	50.96
vider	50.75
étudier	50.66
avaler	50.58
pendre	50.52
ravir	50.29
admirer	50.29
concerner	49.89
caresser	49.70
effacer	49.68
respecter	49.49
réunir	49.31
parier	48.78
rassurer	48.65
dépendre	48.41
soutenir	48.39
organiser	47.53
exiger	47.52
peser	47.14
abattre	47.04
rompre	47.00
mordre	46.65
révéler	46.52
réparer	46.42
assister	46.40
accuser	46.33
enterrer	46.13
interrompre	45.89
survivre	45.70
haïr	45.55
résister	45.53
obéir	45.50
soigner	45.44
indiquer	45.30
chier	45.09
nettoyer	45.03
contenter	44.83
fouiller	44.77
claquer	44.66
creuser	44.65
contenir	44.50
condamner	44.37
trahir	44.19
supplier	44.06
étouffer	43.98
fabriquer	43.97
faillir	43.92
coincer	43.78
remuer	43.63
bosser	43.62
visiter	43.54
examiner	43.52
distinguer	43.45
accueillir	43.35
repousser	43.04
céder	42.78
échanger	42.78
déplacer	42.73
verser	42.59
détacher	42.58
évoquer	42.54
commettre	42.30
établir	42.08
surgir	42.07
subir	41.92
franchir	41.86
lier	41.62
provoquer	41.52
contrôler	41.07
goûter	41.06
fournir	40.98
réserver	40.94
rigoler	40.70
recouvrir	40.15
accomplir	40.10
veiller	40.02
parfaire	39.96
rapprocher	39.92
déchirer	39.78
emmerder	39.63
combattre	39.62
affirmer	39.56
joindre	39.53
conclure	39.51
précipiter	39.42
rassembler	39.34
réduire	39.24
habituer	39.16
résoudre	38.95
exploser	38.92
rattraper	38.86
énerver	38.77
louer	38.77
parcourir	38.64
désigner	38.36
flotter	38.32
noter	37.88
bouffer	37.88
soupirer	37.64
envahir	37.54
guérir	37.50
lutter	37.09
cracher	36.87
hausser	36.86
participer	36.81
redresser	36.66
voyager	36.62
contempler	36.52
éveiller	36.28
ordonner	36.20
raser	36.16
grimper	36.10
foncer	36.05
figurer	35.82
inspirer	35.78
vêtir	35.76
déjeuner	35.72
rejeter	35.50
réclamer	35.13
conserver	35.11
régner	35.09
confondre	35.00
retomber	34.81
étaler	34.73
détourner	34.60
fâcher	34.30
décrire	34.26
avertir	34.25
inscrire	34.05
gâcher	34.04
