# Les 2000 verbes français les plus fréquents, plus les
# quatre écrits à la main. Source : Lexique 3.83 (lexique.org),
# moyenne des fréquences par lemme dans les sous-titres de
# films et dans les livres, par million de mots. Ne sont
# gardés que les verbes que Verbiste sait conjuguer.
# verbe	fréquence
lamenter	5.40
mimer	5.39
atteler	5.35
saccager	5.35
décapiter	5.34
patauger	5.34
confectionner	5.33
modeler	5.33
épaissir	5.33
expirer	5.32
simplifier	5.32
crouler	5.30
léguer	5.29
pivoter	5.29
sillonner	5.29
remarier	5.29
déplorer	5.28
mendier	5.28
picoler	5.28
pétrifier	5.28
alléger	5.27
trôner	5.27
dévouer	5.26
stationner	5.26
vénérer	5.26
ruminer	5.25
colorer	5.25
excéder	5.23
maltraiter	5.21
ravaler	5.21
estomper	5.20
retrousser	5.19
affamer	5.17
bannir	5.17
mouler	5.17
terrer	5.16
barbouiller	5.15
décomposer	5.15
intercepter	5.14
amplifier	5.14
déballer	5.14
vernir	5.14
humer	5.13
friser	5.12
flâner	5.10
métamorphoser	5.10
bricoler	5.09
incendier	5.09
altérer	5.06
convier	5.06
bégayer	5.05
flirter	5.05
pouffer	5.05
surpasser	5.04
délaisser	5.04
joncher	5.03
échauffer	5.01
accoutumer	5.00
soustraire	5.00
tresser	5.00
aiguiser	4.99
rappliquer	4.98
injecter	4.97
embaumer	4.96
clamer	4.96
jacter	4.94
cheminer	4.93
enquérir	4.93
côtoyer	4.92
entonner	4.92
pomper	4.92
surcharger	4.91
pulvériser	4.90
épouvanter	4.89
avorter	4.88
assimiler	4.87
surfer	4.87
spécialiser	4.87
dégouliner	4.86
recoudre	4.86
asperger	4.86
languir	4.86
recopier	4.86
faiblir	4.83
écarquiller	4.80
labourer	4.79
pourchasser	4.79
épingler	4.79
déboutonner	4.79
ligoter	4.78
appréhender	4.78
gorger	4.78
déambuler	4.77
surplomber	4.77
rétorquer	4.76
regrouper	4.75
suspecter	4.75
confisquer	4.75
ouïr	4.75
embraser	4.75
piler	4.75
renouer	4.74
sautiller	4.72
ponctuer	4.72
programmer	4.72
séjourner	4.72
connecter	4.71
démentir	4.71
débrancher	4.70
égaler	4.67
substituer	4.67
doucher	4.66
roupiller	4.65
faner	4.63
approfondir	4.63
chiner	4.63
refouler	4.62
replacer	4.62
happer	4.62
jaunir	4.62
rugir	4.62
attester	4.61
farder	4.59
promouvoir	4.59
assigner	4.59
sommer	4.59
affliger	4.58
omettre	4.58
attrister	4.56
barder	4.56
muter	4.56
proférer	4.56
façonner	4.55
moucher	4.55
abréger	4.54
voguer	4.52
coïncider	4.51
saboter	4.51
affluer	4.50
corrompre	4.49
déterrer	4.47
riposter	4.47
essouffler	4.47
consigner	4.46
ferrer	4.46
éprendre	4.45
loucher	4.45
moisir	4.42
sévir	4.42
planifier	4.42
contraster	4.40
incorporer	4.38
étourdir	4.38
rafler	4.38
divertir	4.38
enduire	4.38
apitoyer	4.37
fortifier	4.37
peloter	4.37
torcher	4.37
alarmer	4.37
ratisser	4.36
persécuter	4.36
trimbaler	4.36
purger	4.35
défigurer	4.34
esclaffer	4.33
bluffer	4.33
muer	4.33
stimuler	4.32
imbiber	4.32
retrancher	4.32
enfreindre	4.31
boxer	4.31
inculper	4.31
griffonner	4.31
énumérer	4.31
casquer	4.30
gourer	4.30
pédaler	4.30
tanguer	4.30
magner	4.29
scandaliser	4.29
abrutir	4.29
chanceler	4.28
soûler	4.28
sommeiller	4.28
cribler	4.28
embellir	4.27
entêter	4.27
toiser	4.26
déléguer	4.26
narguer	4.24
interposer	4.22
refluer	4.22
relayer	4.22
coffrer	4.21
raccourcir	4.21
braver	4.20
boutonner	4.20
gamberger	4.20
sonder	4.19
communier	4.19
injurier	4.18
murer	4.17
sous-estimer	4.17
alterner	4.16
maculer	4.15
profiler	4.14
nécessiter	4.14
neutraliser	4.14
rebrousser	4.14
traire	4.14
chuter	4.13
répercuter	4.13
dévaliser	4.12
damner	4.12
désobéir	4.12
siéger	4.11
déchiqueter	4.10
hacher	4.09
dévier	4.09
déconcerter	4.08
rôtir	4.08
débouler	4.08
lorgner	4.08
dégrader	4.08
perler	4.08
réintégrer	4.07
amarrer	4.07
ébrouer	4.06
obscurcir	4.05
draper	4.04
truquer	4.04
recharger	4.03
superposer	4.03
attabler	4.02
importuner	4.02
teindre	4.02
ébaucher	4.01
égrener	4.01
tamponner	4.00
éventrer	4.00
frimer	4.00
bouillonner	3.99
extasier	3.99
fouiner	3.99
déjouer	3.98
endosser	3.98
revendiquer	3.98
assortir	3.98
gesticuler	3.98
inaugurer	3.98
cambrioler	3.97
tatouer	3.97
enserrer	3.97
motiver	3.96
dérailler	3.96
hypnotiser	3.96
redemander	3.96
perfectionner	3.94
assourdir	3.94
barricader	3.94
flétrir	3.93
renfermer	3.92
patiner	3.90
ployer	3.90
priser	3.90
châtier	3.89
ruser	3.89
adhérer	3.87
éternuer	3.87
symboliser	3.86
trottiner	3.86
parsemer	3.85
trimer	3.84
voleter	3.84
carrer	3.84
stresser	3.84
brouter	3.83
scander	3.83
éjecter	3.82
reluquer	3.81
actionner	3.81
ficeler	3.81
ternir	3.80
téter	3.79
convoiter	3.79
assouvir	3.78
cramer	3.78
acclamer	3.78
dandiner	3.78
hospitaliser	3.78
retaper	3.77
fourguer	3.77
concéder	3.77
klaxonner	3.77
diluer	3.75
terrasser	3.74
duper	3.73
anticiper	3.72
hasarder	3.72
licencier	3.71
délier	3.71
harper	3.69
dissuader	3.69
télégraphier	3.69
empocher	3.69
incomber	3.69
objecter	3.68
sangler	3.68
abreuver	3.67
adonner	3.67
désapprouver	3.67
ancrer	3.67
bagarrer	3.67
siroter	3.67
bafouer	3.66
propulser	3.66
repêcher	3.66
équilibrer	3.65
miauler	3.65
instaurer	3.65
recouvrer	3.64
élaborer	3.64
clignoter	3.62
engraisser	3.62
dévêtir	3.62
rythmer	3.61
gazer	3.60
reformer	3.60
insérer	3.59
assiéger	3.58
confiner	3.58
divaguer	3.58
rabaisser	3.58
décimer	3.58
meurtrir	3.57
nicher	3.57
opter	3.56
ériger	3.56
capituler	3.55
endommager	3.55
enfourcher	3.54
bomber	3.54
resplendir	3.54
tonner	3.54
valser	3.53
égayer	3.53
emboîter	3.53
arnaquer	3.52
décroître	3.52
tourbillonner	3.52
affubler	3.51
crucifier	3.51
tondre	3.51
outrager	3.51
déporter	3.50
graisser	3.50
mutiler	3.50
raffoler	3.50
glapir	3.50
acheminer	3.49
remédier	3.49
raviser	3.47
rêvasser	3.46
dégainer	3.46
suinter	3.46
expérimenter	3.45
cabrer	3.44
dénuer	3.43
rétracter	3.42
dilater	3.42
héler	3.42
instituer	3.42
sécuriser	3.41
enliser	3.40
référer	3.40
agglutiner	3.40
défaillir	3.40
dérouiller	3.40
relater	3.40
aérer	3.38
seconder	3.38
tarir	3.38
paître	3.38
exiler	3.37
perpétuer	3.37
peler	3.35
réquisitionner	3.35
agoniser	3.35
culbuter	3.34
croupir	3.33
recourir	3.33
écosser	3.33
brasser	3.32
percuter	3.32
peigner	3.32
sucrer	3.32
raviver	3.31
conformer	3.31
dévaster	3.31
tarer	3.31
amortir	3.31
recréer	3.31
démêler	3.31
démanger	3.30
empester	3.29
glousser	3.29
rehausser	3.29
ressasser	3.29
amocher	3.29
effilocher	3.27
ensuivre	3.27
décamper	3.26
oeuvrer	3.26
colorier	3.25
emmêler	3.25
beugler	3.25
désintéresser	3.25
rajuster	3.25
prosterner	3.24
prétexter	3.24
espacer	3.24
émigrer	3.23
trimballer	3.22
dépeindre	3.22
sauvegarder	3.21
ballotter	3.20
amputer	3.20
absoudre	3.19
manigancer	3.19
énoncer	3.19
rivaliser	3.19
démener	3.19
mordiller	3.19
tramer	3.19
troquer	3.19
évaporer	3.19
ceinturer	3.18
conjuguer	3.17
dépanner	3.17
enthousiasmer	3.17
desservir	3.15
jubiler	3.14
geindre	3.13
stabiliser	3.13
relaxer	3.11
